SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
61700567,61700567,Groundwater,Bore or Well,AWRC,Eneabba - Ow2,Ow2,23071074 [WIN_ID]; 61700567 [SITE_REF],,50,327566.06,6696333.48,-29.851488200,115.214949482,GDA2020
61700568,61700568,Groundwater,Bore or Well,AWRC,Eneabba - Ow3,Ow3,23071075 [WIN_ID]; 61700568 [SITE_REF],,50,327595.05,6695719.48,-29.857030810,115.215150966,GDA2020
61700569,61700569,Groundwater,Bore or Well,AWRC,Eneabba - Ow4,Ow4,23071076 [WIN_ID]; 61700569 [SITE_REF],,50,327667.05,6695732.48,-29.856923616,115.215898144,GDA2020
61700570,61700570,Groundwater,Bore or Well,AWRC,Eneabba - Ow5,Ow5,23071077 [WIN_ID]; 61700570 [SITE_REF],,50,327771.06,6696236.48,-29.852391846,115.217055249,GDA2020
61700571,61700571,Groundwater,Bore or Well,AWRC,Eneabba - Ow6,Ow6,23071078 [WIN_ID]; 61700571 [SITE_REF],,50,327650.06,6696176.48,-29.852916159,115.215793505,GDA2020
61700577,61700577,Groundwater,Bore or Well,AWRC,Eneabba - Pt1,Pt1,23071084 [WIN_ID]; 61700577 [SITE_REF],,50,327529.06,6696385.48,-29.851013960,115.214574961,GDA2020
61700578,61700578,Groundwater,Bore or Well,AWRC,Eneabba - Pt2,Pt2,23071085 [WIN_ID]; 61700578 [SITE_REF],,50,327578.05,6695710.48,-29.857109615,115.214973596,GDA2020
61700586,61700586,Groundwater,Bore or Well,AWRC,Kadathinni - Tathra Pb1,Tathra Pb1,23071093 [WIN_ID]; 61700586 [SITE_REF],,50,361484.02,6714340.45,-29.693307665,115.568281263,GDA2020
61700587,61700587,Groundwater,Bore or Well,AWRC,Kadathinni - Tmb01,Tmb01,23071094 [WIN_ID]; 61700587 [SITE_REF],,50,363141.03,6720751.46,-29.635649542,115.586213129,GDA2020
61700588,61700588,Groundwater,Bore or Well,AWRC,Kadathinni - Tmb02D,Tmb02D,23071095 [WIN_ID]; 61700588 [SITE_REF],,50,364320.02,6717815.46,-29.662268548,115.598022220,GDA2020
61700589,61700589,Groundwater,Bore or Well,AWRC,Kadathinni - Tmb02S,Tmb02S,23071096 [WIN_ID]; 61700589 [SITE_REF],,50,364320.02,6717812.46,-29.662295615,115.598021845,GDA2020
61700590,61700590,Groundwater,Bore or Well,AWRC,Kadathinni - Tmb03D,Tmb03D,23071097 [WIN_ID]; 61700590 [SITE_REF],,50,361154.03,6719030.46,-29.650956523,115.565472135,GDA2020
61700591,61700591,Groundwater,Bore or Well,AWRC,Kadathinni - Tmb03S,Tmb03S,23071098 [WIN_ID]; 61700591 [SITE_REF],,50,361157.03,6719030.46,-29.650956858,115.565503122,GDA2020
61700607,61700607,Groundwater,Bore or Well,AWRC,Eneabba - Wte40,Wte40,23071116 [WIN_ID]; 61700607 [SITE_REF],,50,336654.03,6703040.49,-29.792223129,115.310012206,GDA2020
61700608,61700608,Groundwater,Bore or Well,AWRC,Eneabba - Wte41,Wte41,23071114 [WIN_ID]; 61700608 [SITE_REF],,50,335671.03,6703279.49,-29.789936765,115.299882242,GDA2020
61700609,61700609,Groundwater,Bore or Well,AWRC,Eneabba - Wte42,Wte42,23071115 [WIN_ID]; 61700609 [SITE_REF],,50,337764.03,6702915.49,-29.793497028,115.321473352,GDA2020
61700645,61700645,Groundwater,Open hole,AWRC,Warradarge - Je1,Je1,23070189 [WIN_ID]; 61700645 [SITE_REF],,50,347457.07,6674263.49,-30.053209662,115.417642981,GDA2020
61700686,61700686,Groundwater,Bore or Well,AWRC,Kadathinni - Tathara Tobs,Tathara Tobs,23069679 [WIN_ID]; 61700686 [SITE_REF],,50,363141.03,6720751.46,-29.635649542,115.586213129,GDA2020
61700687,61700687,Groundwater,Bore or Well,AWRC,Kadathinni - Tathara Tpb,Tathara Tpb,23069680 [WIN_ID]; 61700687 [SITE_REF],,50,363141.03,6720751.46,-29.635649542,115.586213129,GDA2020
61700755,61700755,Groundwater,Bore or Well,AWRC,Warradarge - Npb-Shp-T1,Npb-Shp-T1,23083640 [WIN_ID]; 61700755 [SITE_REF],,50,339760.99,6682268.50,-29.980013523,115.339041622,GDA2020
61710211,61710211,Groundwater,Bore or Well,AWRC,Eneabba - Em 16,Em 16,1938-2-NW-0049 [AQWAB]; 20007763 [WIN_ID]; 61710211 [SITE_REF],,50,335215.03,6696743.49,-29.848836257,115.294165186,GDA2020
61710212,61710212,Groundwater,Bore or Well,AWRC,Eneabba - Em 17,Em 17,1938-2-NW-0050 [AQWAB]; 20007764 [WIN_ID]; 61710212 [SITE_REF],,50,335900.02,6696749.49,-29.848873515,115.301254507,GDA2020
61710213,61710213,Groundwater,Bore or Well,AWRC,Eneabba - Em 18,Em 18,1938-2-NW-0051 [AQWAB]; 20007765 [WIN_ID]; 61710213 [SITE_REF],,50,335908.03,6697858.49,-29.838870461,115.301506687,GDA2020
61710214,61710214,Groundwater,Bore or Well,AWRC,Eneabba - Em 19,Em 19,1938-2-NW-0052 [AQWAB]; 20007766 [WIN_ID]; 61710214 [SITE_REF],,50,335377.03,6697435.49,-29.842615492,115.295947615,GDA2020
61710215,61710215,Groundwater,Bore or Well,AWRC,Eneabba - Em 20,Em 20,1938-2-NW-0053 [AQWAB]; 20007767 [WIN_ID]; 61710215 [SITE_REF],,50,335352.03,6698144.49,-29.836216385,115.295797571,GDA2020
61710216,61710216,Groundwater,Bore or Well,AWRC,Eneabba - Em 21,Em 21,1938-2-NW-0054 [AQWAB]; 20007768 [WIN_ID]; 61710216 [SITE_REF],,50,335316.04,6699240.49,-29.826324735,115.295592986,GDA2020
61710392,61710392,Groundwater,Bore or Well,AWRC,Three Springs Region - Bone 2,Bone 2,23025933 [WIN_ID]; 61710392 [SITE_REF]; PC041002 [TEXT_REF],PC041002,50,361143.47,6738006.57,-29.479745835,115.567781113,GDA2020
61710393,61710393,Groundwater,Bore or Well,AWRC,Three Springs Region - Bone 1,Bone 1,23025934 [WIN_ID]; 61710393 [SITE_REF]; PC041001 [TEXT_REF],PC041001,50,362336.00,6736858.38,-29.490237220,115.579933705,GDA2020
61710395,61710395,Groundwater,Bore or Well,AWRC,Three Springs Region - Iluka 33,Iluka 33,23025936 [WIN_ID]; 61710395 [SITE_REF]; PC171002 [TEXT_REF],PC171002,50,335394.30,6697435.98,-29.842613378,115.296126389,GDA2020
61710396,61710396,Groundwater,Bore or Well,AWRC,Three Springs Region - Iluka 32,Iluka 32,23025937 [WIN_ID]; 61710396 [SITE_REF]; PC171001 [TEXT_REF],PC171001,50,335222.74,6699164.36,-29.826999033,115.294616066,GDA2020
61710404,61710404,Groundwater,Bore or Well,AWRC,Three Springs Region - Hunt,Hunt,23025945 [WIN_ID]; 61710404 [SITE_REF]; PC111004 [TEXT_REF],PC111004,50,367644.28,6723655.84,-29.609932313,115.633075464,GDA2020
61710405,61710405,Groundwater,Bore or Well,AWRC,Three Springs Region - Pugh 3,Pugh 3,23025946 [WIN_ID]; 61710405 [SITE_REF]; PC111003 [TEXT_REF],PC111003,50,355280.93,6732892.18,-29.525224467,115.506652264,GDA2020
61710406,61710406,Groundwater,Bore or Well,AWRC,Three Springs Region - Pugh 2,Pugh 2,23025947 [WIN_ID]; 61710406 [SITE_REF]; PC111002 [TEXT_REF],PC111002,50,355921.33,6730763.50,-29.544503812,115.512977663,GDA2020
61710407,61710407,Groundwater,Bore or Well,AWRC,Three Springs Region - Pugh 1,Pugh 1,23025948 [WIN_ID]; 61710407 [SITE_REF]; PC111001 [TEXT_REF],PC111001,50,356489.89,6730039.53,-29.551101147,115.518748821,GDA2020
61710409,61710409,Groundwater,Bore or Well,AWRC,Three Springs Region - Beard,Beard,23025950 [WIN_ID]; 61710409 [SITE_REF]; PC101002 [TEXT_REF],PC101002,50,380362.92,6681233.56,-29.993986695,115.759688670,GDA2020
61710410,61710410,Groundwater,Bore or Well,AWRC,Three Springs Region - Melbin,Melbin,23025951 [WIN_ID]; 61710410 [SITE_REF]; PC101001 [TEXT_REF],PC101001,50,380181.16,6683872.91,-29.970155383,115.758101060,GDA2020
61710411,61710411,Groundwater,Bore or Well,AWRC,Three Springs Region - Morgan 1,Morgan 1,23025952 [WIN_ID]; 61710411 [SITE_REF]; PC260901 [TEXT_REF],PC260901,50,351129.19,6730927.32,-29.542463252,115.463555338,GDA2020
61710412,61710412,Groundwater,Bore or Well,AWRC,Three Springs Region - Morgan 2,Morgan 2,23025953 [WIN_ID]; 61710412 [SITE_REF]; PC260902 [TEXT_REF],PC260902,50,356475.75,6727589.15,-29.573207370,115.518280190,GDA2020
61710413,61710413,Groundwater,Bore or Well,AWRC,Three Springs Region - Long,Long,23025954 [WIN_ID]; 61710413 [SITE_REF]; PC260903 [TEXT_REF],PC260903,50,326050.27,6750921.33,-29.358854716,115.207995061,GDA2020
61710414,61710414,Groundwater,Bore or Well,AWRC,Three Springs Region - Heitman 3,Heitman 3,23025955 [WIN_ID]; 61710414 [SITE_REF]; PC250901 [TEXT_REF],PC250901,50,349063.75,6750868.24,-29.362307804,115.444991385,GDA2020
61710415,61710415,Groundwater,Bore or Well,AWRC,Three Springs Region - Heitman 4,Heitman 4,23025956 [WIN_ID]; 61710415 [SITE_REF]; PC250902 [TEXT_REF],PC250902,50,349063.75,6750868.24,-29.362307804,115.444991385,GDA2020
61710416,61710416,Groundwater,Bore or Well,AWRC,Three Springs Region - Heitman 5,Heitman 5,23025957 [WIN_ID]; 61710416 [SITE_REF]; PC250903 [TEXT_REF],PC250903,50,349063.75,6750868.24,-29.362307804,115.444991385,GDA2020
61710417,61710417,Groundwater,Bore or Well,AWRC,Three Springs Region - Heitman 6,Heitman 6,23025958 [WIN_ID]; 61710417 [SITE_REF]; PC250904 [TEXT_REF],PC250904,50,349063.75,6750868.24,-29.362307804,115.444991385,GDA2020
61710418,61710418,Groundwater,Bore or Well,AWRC,Three Springs Region - Heitman 7,Heitman 7,23025959 [WIN_ID]; 61710418 [SITE_REF]; PC250905 [TEXT_REF],PC250905,50,342272.26,6747552.45,-29.391388274,115.374570076,GDA2020
61710419,61710419,Groundwater,Bore or Well,AWRC,Three Springs Region - Arradine 2,Arradine 2,23025960 [WIN_ID]; 61710419 [SITE_REF]; PC251009 [TEXT_REF],PC251009,50,342852.61,6746373.33,-29.402098860,115.380380112,GDA2020
61710420,61710420,Groundwater,Bore or Well,AWRC,Three Springs Region - Johns 1,Johns 1,23025962 [WIN_ID]; 61710420 [SITE_REF]; PC311002 [TEXT_REF],PC311002,50,376466.00,6676759.73,-30.033964318,115.718777704,GDA2020
61710421,61710421,Groundwater,Bore or Well,AWRC,Three Springs Region - West Flora,West Flora,23025963 [WIN_ID]; 61710421 [SITE_REF]; PC241003 [TEXT_REF],PC241003,50,328190.79,6721544.68,-29.624154941,115.225423530,GDA2020
61710424,61710424,Groundwater,Bore or Well,AWRC,Three Springs Region - Pugh 4,Pugh 4,23025966 [WIN_ID]; 61710424 [SITE_REF]; PC161001 [TEXT_REF],PC161001,50,357379.64,6714457.42,-29.691787147,115.525884762,GDA2020
61710428,61710428,Groundwater,Bore or Well,AWRC,Three Springs Region - Allington 1,Allington 1,23025970 [WIN_ID]; 61710428 [SITE_REF]; PC301004 [TEXT_REF],PC301004,50,348421.61,6703179.93,-29.792465326,115.431740428,GDA2020
61710429,61710429,Groundwater,Bore or Well,AWRC,Three Springs Region - Allington 2,Allington 2,23025971 [WIN_ID]; 61710429 [SITE_REF]; PC301005 [TEXT_REF],PC301005,50,348528.34,6699003.33,-29.830157511,115.432256602,GDA2020
61710430,61710430,Groundwater,Bore or Well,AWRC,Three Springs Region - Allington 3,Allington 3,23025972 [WIN_ID]; 61710430 [SITE_REF]; PC301006 [TEXT_REF],PC301006,50,349279.82,6699895.36,-29.822202130,115.440157102,GDA2020
61710434,61710434,Groundwater,Bore or Well,AWRC,Three Springs Region - Williams 1,Williams 1,23027347 [WIN_ID]; 61710434 [SITE_REF]; PC141101 [TEXT_REF],PC141101,50,345782.09,6666683.53,-30.121377981,115.399172494,GDA2020
61710435,61710435,Groundwater,Bore or Well,AWRC,Three Springs Region - Whittome,Whittome,23027348 [WIN_ID]; 61710435 [SITE_REF]; PC141102 [TEXT_REF],PC141102,50,359630.12,6678805.82,-30.013689075,115.544479860,GDA2020
61710439,61710439,Groundwater,Bore or Well,AWRC,Three Springs Region - Sewell,Sewell,23027352 [WIN_ID]; 61710439 [SITE_REF]; PC191101 [TEXT_REF],PC191101,50,340396.21,6674663.18,-30.048702536,115.344484307,GDA2020
61710440,61710440,Groundwater,Bore or Well,AWRC,Three Springs Region - Sewell 2,Sewell 2,23027353 [WIN_ID]; 61710440 [SITE_REF]; PC191102 [TEXT_REF],PC191102,50,339263.67,6678000.39,-30.018450058,115.333244969,GDA2020
61710441,61710441,Groundwater,Bore or Well,AWRC,Three Springs Region - Erim,Erim,23027354 [WIN_ID]; 61710441 [SITE_REF]; PC191103 [TEXT_REF],PC191103,50,341137.42,6671740.55,-30.075163488,115.351733181,GDA2020
61710445,61710445,Groundwater,Bore or Well,AWRC,Three Springs Region - Chamberlain 1,Chamberlain 1,23027358 [WIN_ID]; 61710445 [SITE_REF]; PC201102 [TEXT_REF],PC201102,50,343257.22,6662380.88,-30.159869089,115.372335326,GDA2020
61710450,61710450,Groundwater,Bore or Well,AWRC,Three Springs Region - S.Clark,S.Clark,23027363 [WIN_ID]; 61710450 [SITE_REF]; PC211102 [TEXT_REF],PC211102,50,347903.21,6693507.19,-29.879663375,115.425010141,GDA2020
61710451,61710451,Groundwater,Bore or Well,AWRC,Three Springs Region - S.Clark 2,S.Clark 2,23027364 [WIN_ID]; 61710451 [SITE_REF]; PC211103 [TEXT_REF],PC211103,50,348482.51,6694852.73,-29.867596258,115.431196991,GDA2020
61710452,61710452,Groundwater,Bore or Well,AWRC,Three Springs Region - S.Clark 3,S.Clark 3,23027365 [WIN_ID]; 61710452 [SITE_REF]; PC211104 [TEXT_REF],PC211104,50,348482.51,6694852.73,-29.867596258,115.431196991,GDA2020
61710454,61710454,Groundwater,Bore or Well,AWRC,Three Springs Region - Watercorp 1,Watercorp 1,23027661 [WIN_ID]; 61710454 [SITE_REF]; PC131201 [TEXT_REF],PC131201,50,364255.29,6731734.13,-29.536680998,115.599090365,GDA2020
