"SORT","TECTNO","TECTCODE","TECTNAME","TECTTYPE","LITHOLOGY","TECTSETTIN","TSETT_QUAL","PARENTCODE","PARENTNAME","PARENTTYPE","STATE","WATECTUNIT","SSUITE_TEC","SUITE_TEC","CRATON","SUPERTERRA","CRATON_TER","DOMAIN_","GREENSTONE","SUPERBASIN","BASIN","SUBBASIN","SUBBASIN_E","OROGEN","PROVINCE","PROV_TZONE","TECT_SUBDI","OROG_FOR","OROG_FORSU","IN_OUTLIER","EVENTS","ERA_FROM","ERA_TO","MAX_AGE_MA","MIN_AGE_MA","TECTCOLOUR","SYMBOL"
"4","401","CARJ","Jurgurra Terrace","Sub-basin element","sedimentary rocks","basin","intracratonic basin","CAR","Broome Platform","Sub-basin","Western Australia","Phanerozoic basins","","","","","","","","","Canning Basin","Broome Platform","Jurgurra Terrace","","","","","","","","Fitzroy Movement (237 - 199 Ma); Point Moody Extension (300 - 242 Ma)","Paleozoic","Mesozoic","485","100","PZ-s","PALEOZOIC; sedimentary rocks"
"4","400","CARM","Mowla Terrace","Sub-basin element","sedimentary rocks","basin","intracratonic basin","CAR","Broome Platform","Sub-basin","Western Australia","Phanerozoic basins","","","","","","","","","Canning Basin","Broome Platform","Mowla Terrace","","","","","","","","Fitzroy Movement (237 - 199 Ma); Point Moody Extension (300 - 242 Ma)","Paleozoic","Mesozoic","485","100","PZ-s","PALEOZOIC; sedimentary rocks"
"5","385","CAS","Samphire Graben","Sub-basin","sedimentary and volcanic rocks","basin","marginal basin","CA","Canning Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Canning Basin","Samphire Graben","","","","","","","","","Gondwana breakup - southern NW Shelf (220 - 138 Ma)","Paleozoic","Mesozoic","485","66","PZ-sv","PALEOZOIC; sedimentary and volcanic rocks"
"4","215","CAU","Canning Basin, Lucas Outlier","Inlier/Outlier","sedimentary rocks","basin","intracratonic basin","CA","Canning Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Canning Basin","","","","","","","","","Canning Basin, Lucas Outlier","Pertnjara-Brewer Movements (Alice Springs Orogeny phase 2) (390 - 360 Ma)","Paleozoic","Paleozoic","485","252","PZ-s","PALEOZOIC; sedimentary rocks"
"4","399","CAW","Barbwire Terrace","Sub-basin","sedimentary rocks","basin","intracratonic basin","CA","Canning Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Canning Basin","Barbwire Terrace","","","","","","","","","Fitzroy Movement (237 - 199 Ma); Point Moody Extension (300 - 242 Ma)","Paleozoic","Mesozoic","485","66","PZ-s","PALEOZOIC; sedimentary rocks"
"4","387","CAWK","Waukarlycarly Embayment","Sub-basin","sedimentary rocks","basin","marginal basin","CA","Canning Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Canning Basin","Waukarlycarly Embayment","","","","","","","","","Gondwana breakup - southern NW Shelf (220 - 138 Ma)","Paleozoic","Mesozoic","485","66","PZ-s","PALEOZOIC; sedimentary rocks"
"4","386","CAWP","Wallal Platform","Sub-basin","sedimentary rocks","basin","marginal basin","CA","Canning Basin","Basin","Western Australia","Phanerozoic basins","","","","","","","","","Canning Basin","Wallal Platform","","","","","","","","","Gondwana breakup - southern NW Shelf (220 - 138 Ma)","Paleozoic","Mesozoic","485","66","PZ-s","PALEOZOIC; sedimentary rocks"
"20","83","CB","Carr Boyd Basin","Basin","sedimentary rocks","basin","intracratonic basin","HCO","Halls Creek Orogen","Orogen","Western Australia","North Australian Craton","","","","","","","","","Carr Boyd Basin","","","Halls Creek Orogen","","","","","","","Wunaamin Miliwundi Orogeny (670 - 510 Ma)","Mesoproterozoic","Neoproterozoic","1300","891","P_M-s","MESOPROTEROZOIC; sedimentary rocks"
"44","320","CL","Cleland Supersuite","Supersuite","granitic rocks","igneous","undivided","P","Pilbara Craton","Craton","Western Australia","West Australian Craton","Cleland Supersuite","","Pilbara Craton","","","","","","","","","","","","","","","","Fortescue Rifting Event (2775 - 2752 Ma); North Pilbara Orogeny (2955 - 2919 Ma); Prinsep Orogeny (3068 - 3066 Ma); East Pilbara Terrane Rifting Event (3220 - 3165 Ma); Karratha Event (3160 - 3140 Ma)","Paleoarchean","Paleoarchean","3274","3223","AP-g","PALEOARCHEAN; granitic rocks"
"30","238","CM","Coompana Province","Province","igneous and metamorphic rocks","igneous","undivided","WA","STATE","Western Australia","Western Australia","South Australian Craton","","","","","","","","","","","","","Coompana Province","","","","","","Coompana Province events (2000 - 1100 Ma); Maralinga Event (1220 - 1120 Ma)","Paleoproterozoic","Mesoproterozoic","2000","1100","P_PM-im","PALEOPROTEROZOIC-MESOPROTEROZOIC; igneous and metamorphic rocks"
"44","324","CN","Callina Supersuite","Supersuite","granitic rocks","igneous","undivided","P","Pilbara Craton","Craton","Western Australia","West Australian Craton","Callina Supersuite","","Pilbara Craton","","","","","","","","","","","","","","","","Fortescue Rifting Event (2775 - 2752 Ma); North Pilbara Orogeny (2955 - 2919 Ma); East Pilbara Terrane Rifting Event (3220 - 3165 Ma); Emu Pool Event (3300 - 3290 Ma); Warrawoona Event (3430 - 3410 Ma)","Paleoarchean","Paleoarchean","3484","3462","AP-g","PALEOARCHEAN; granitic rocks"
"18","131","CP","Cardup Basin","Basin","sedimentary rocks","basin","continental margin","PJO","Pinjarra Orogen","Orogen","Western Australia","","","","","","","","","","Cardup Basin","","","Pinjarra Orogen","","","","","","","Leeuwin Orogeny (780 - 515 Ma)","Mesoproterozoic","Neoproterozoic","1600","541","P_MN-s","MESOPROTEROZOIC-NEOPROTEROZOIC; sedimentary rocks"
