model_timestamp,boreid,obsval,obsnme,obgnme,weight
10565,61719111,170.6852172851562,61719111_10565,head,1.0
10656,61719111,170.7208422851562,61719111_10656,head,1.0
10898,61719111,169.0508422851562,61719111_10898,head,1.0
11020,61719111,166.2588422851562,61719111_11020,head,1.0
11261,61719111,166.6063978407118,61719111_11261,head,1.0
11383,61719111,164.6708422851562,61719111_11383,head,1.0
11655,61719111,165.4645922851562,61719111_11655,head,1.0
11776,61719111,166.2975089518229,61719111_11776,head,1.0
12018,61719111,164.8808422851562,61719111_12018,head,1.0
12139,61719111,161.5958422851562,61719111_12139,head,1.0
12290,61719111,161.3108422851562,61719111_12290,head,1.0
12442,61719111,162.9708422851562,61719111_12442,head,1.0
12775,61719111,162.518620062934,61719111_12775,head,1.0
12836,61719111,164.4408422851562,61719111_12836,head,1.0
13077,61719111,165.0208422851562,61719111_13077,head,1.0
13199,61719111,164.1208422851562,61719111_13199,head,1.0
13471,61719111,166.9258422851562,61719111_13471,head,1.0
13562,61719111,162.6108422851562,61719111_13562,head,1.0
13774,61719111,164.5170922851562,61719111_13774,head,1.0
13926,61719111,161.5488422851562,61719111_13926,head,1.0
14167,61719111,163.9236994280134,61719111_14167,head,1.0
14258,61719111,165.8258422851562,61719111_14258,head,1.0
14410,61719111,164.0008422851562,61719111_14410,head,1.0
14713,61719111,169.1579851422991,61719111_14713,head,1.0
14924,61719111,170.3008422851562,61719111_14924,head,1.0
7750,61719112,154.0708422851562,61719112_7750,head,1.0
9264,61719112,164.4375089518229,61719112_9264,head,1.0
9537,61719112,166.978620062934,61719112_9537,head,1.0
9628,61719112,166.4708422851562,61719112_9628,head,1.0
9839,61719112,166.7536994280133,61719112_9839,head,1.0
9930,61719112,167.3858422851562,61719112_9930,head,1.0
10202,61719112,168.7108422851562,61719112_10202,head,1.0
10323,61719112,166.9608422851562,61719112_10323,head,1.0
10565,61719112,167.0245922851562,61719112_10565,head,1.0
10656,61719112,166.8575089518229,61719112_10656,head,1.0
10898,61719112,166.4108422851562,61719112_10898,head,1.0
11020,61719112,166.2428422851562,61719112_11020,head,1.0
11261,61719112,165.968620062934,61719112_11261,head,1.0
11383,61719112,163.9908422851562,61719112_11383,head,1.0
11655,61719112,164.1258422851562,61719112_11655,head,1.0
11776,61719112,161.1008422851562,61719112_11776,head,1.0
12018,61719112,164.3952867296006,61719112_12018,head,1.0
12139,61719112,162.0883422851562,61719112_12139,head,1.0
12290,61719112,162.3308422851562,61719112_12290,head,1.0
12442,61719112,162.4708422851562,61719112_12442,head,1.0
12775,61719112,161.0695922851562,61719112_12775,head,1.0
12836,61719112,160.0208422851562,61719112_12836,head,1.0
13077,61719112,161.7052867296007,61719112_13077,head,1.0
13199,61719112,160.7258422851562,61719112_13199,head,1.0
13471,61719112,162.333620062934,61719112_13471,head,1.0
13562,61719112,160.3891756184895,61719112_13562,head,1.0
13774,61719112,160.8433422851562,61719112_13774,head,1.0
13926,61719112,158.8448422851562,61719112_13926,head,1.0
14167,61719112,157.5191756184895,61719112_14167,head,1.0
14713,61719112,155.3008422851562,61719112_14713,head,1.0
14924,61719112,161.3008422851562,61719112_14924,head,1.0
10202,61819021,65.79933553059895,61819021_10202,head,1.0
10323,61819021,63.46600219726562,61819021_10323,head,1.0
10565,61819021,65.06600219726562,61819021_10565,head,1.0
10656,61819021,62.16600219726563,61819021_10656,head,1.0
10898,61819021,68.0374307686942,61819021_10898,head,1.0
11020,61819021,69.34100219726562,61819021_11020,head,1.0
11261,61819021,70.66600219726563,61819021_11261,head,1.0
11383,61819021,75.1326688639323,61819021_11383,head,1.0
11655,61819021,73.09457362583704,61819021_11655,head,1.0
11776,61819021,59.41600219726561,61819021_11776,head,1.0
12018,61819021,62.08266886393228,61819021_12018,head,1.0
12139,61819021,60.91600219726561,61819021_12139,head,1.0
12290,61819021,60.01600219726561,61819021_12290,head,1.0
12442,61819021,58.41600219726561,61819021_12442,head,1.0
12775,61819021,57.09100219726561,61819021_12775,head,1.0
12836,61819021,55.66600219726561,61819021_12836,head,1.0
13077,61819021,69.8048910861545,61819021_13077,head,1.0
13199,61819021,67.91433553059895,61819021_13199,head,1.0
13471,61819021,71.08600219726561,61819021_13471,head,1.0
13562,61819021,67.91100219726562,61819021_13562,head,1.0
13774,61819021,70.91100219726562,61819021_13774,head,1.0
13926,61819021,71.81100219726561,61819021_13926,head,1.0
14167,61819021,67.83957362583705,61819021_14167,head,1.0
14258,61819021,66.66100219726562,61819021_14258,head,1.0
14410,61819021,66.16100219726562,61819021_14410,head,1.0
14713,61819021,72.91100219726562,61819021_14713,head,1.0
14924,61819021,65.28600219726562,61819021_14924,head,1.0
14984,61819021,65.91100219726562,61819021_14984,head,1.0
15227,61819021,64.53600219726562,61819021_15227,head,1.0
15409,61819021,66.91100219726562,61819021_15409,head,1.0
15620,61819021,72.24433553059895,61819021_15620,head,1.0
15742,61819021,66.91100219726562,61819021_15742,head,1.0
15983,61819021,73.57766886393229,61819021_15983,head,1.0
16105,61819021,77.91100219726562,61819021_16105,head,1.0
16346,61819021,66.91100219726562,61819021_16346,head,1.0
16741,61819021,78.91100219726562,61819021_16741,head,1.0
17043,61819021,71.91100219726562,61819021_17043,head,1.0
17225,61819021,71.91100219726562,61819021_17225,head,1.0
17436,61819021,76.57766886393229,61819021_17436,head,1.0
17527,61819021,78.91100219726562,61819021_17527,head,1.0
9264,61819023,219.9960021972656,61819023_9264,head,1.0
10202,61819023,21.49600219726562,61819023_10202,head,1.0
10565,61819023,17.99600219726562,61819023_10565,head,1.0
10898,61819023,21.49600219726562,61819023_10898,head,1.0
5449,70118002,212.1513202880859,70118002_5449,head,1.0
6266,70118002,214.8097536214192,70118002_6266,head,1.0
6509,70118002,214.9330869547526,70118002_6509,head,1.0
6691,70118002,215.0864202880859,70118002_6691,head,1.0
6993,70118002,215.8064202880859,70118002_6993,head,1.0
7265,70118002,215.5180869547526,70118002_7265,head,1.0
7417,70118002,215.5424202880859,70118002_7417,head,1.0
7567,70118002,215.4989202880859,70118002_7567,head,1.0
7750,70118002,215.5897536214192,70118002_7750,head,1.0
8023,70118002,215.7435631452288,70118002_8023,head,1.0
8114,70118002,215.9430869547525,70118002_8114,head,1.0
8355,70118002,215.8364202880859,70118002_8355,head,1.0
8507,70118002,215.9739202880859,70118002_8507,head,1.0
8657,70118002,216.0444202880859,70118002_8657,head,1.0
8840,70118002,216.0939202880859,70118002_8840,head,1.0
9020,70118002,216.3464202880859,70118002_9020,head,1.0
9264,70118002,216.6164202880859,70118002_9264,head,1.0
9537,70118002,216.8014202880859,70118002_9537,head,1.0
9628,70118002,216.7780869547526,70118002_9628,head,1.0
9839,70118002,216.9004202880859,70118002_9839,head,1.0
9930,70118002,217.0007536214192,70118002_9930,head,1.0
10202,70118002,216.9514202880859,70118002_10202,head,1.0
10323,70118002,217.0464202880859,70118002_10323,head,1.0
10565,70118002,217.1189202880859,70118002_10565,head,1.0
10656,70118002,217.2614202880859,70118002_10656,head,1.0
10898,70118002,217.3164202880859,70118002_10898,head,1.0
11020,70118002,217.3564202880859,70118002_11020,head,1.0
11261,70118002,217.4389202880859,70118002_11261,head,1.0
11383,70118002,217.5564202880859,70118002_11383,head,1.0
11655,70118002,217.5664202880859,70118002_11655,head,1.0
11776,70118002,217.7514202880859,70118002_11776,head,1.0
12018,70118002,217.7564202880859,70118002_12018,head,1.0
12139,70118002,217.9214202880859,70118002_12139,head,1.0
12290,70118002,218.0730869547525,70118002_12290,head,1.0
12442,70118002,218.0114202880859,70118002_12442,head,1.0
12775,70118002,218.5447536214192,70118002_12775,head,1.0
12836,70118002,218.6464202880859,70118002_12836,head,1.0
13077,70118002,218.6739202880859,70118002_13077,head,1.0
13199,70118002,218.8764202880859,70118002_13199,head,1.0
13471,70118002,218.9401702880859,70118002_13471,head,1.0
13562,70118002,219.3914202880859,70118002_13562,head,1.0
13774,70118002,219.4180869547526,70118002_13774,head,1.0
13926,70118002,219.5914202880859,70118002_13926,head,1.0
14167,70118002,219.5414202880859,70118002_14167,head,1.0
14258,70118002,219.6764202880859,70118002_14258,head,1.0
14410,70118002,219.8364202880859,70118002_14410,head,1.0
14713,70118002,219.9147536214192,70118002_14713,head,1.0
15227,70118002,220.2647536214192,70118002_15227,head,1.0
15409,70118002,220.4889202880859,70118002_15409,head,1.0
15620,70118002,220.4664202880859,70118002_15620,head,1.0
15742,70118002,220.6964202880859,70118002_15742,head,1.0
15983,70118002,220.7814202880859,70118002_15983,head,1.0
16105,70118002,220.9164202880859,70118002_16105,head,1.0
16346,70118002,220.9564202880859,70118002_16346,head,1.0
19252,70118002,223.5264202880859,70118002_19252,head,1.0
19616,70118002,223.7264202880859,70118002_19616,head,1.0
19979,70118002,223.8864202880859,70118002_19979,head,1.0
20768,70118002,224.1964202880859,70118002_20768,head,1.0
21919,70118002,224.3464202880859,70118002_21919,head,1.0
22160,70118002,224.3464202880859,70118002_22160,head,1.0
22312,70118002,224.3204202880859,70118002_22312,head,1.0
22555,70118002,224.3214202880859,70118002_22555,head,1.0
22826,70118002,224.3464202880859,70118002_22826,head,1.0
23039,70118002,224.3464202880859,70118002_23039,head,1.0
23220,70118002,224.3464202880859,70118002_23220,head,1.0
23402,70118002,224.3464202880859,70118002_23402,head,1.0
23644,70118002,224.3464202880859,70118002_23644,head,1.0
23947,70118002,224.3464202880859,70118002_23947,head,1.0
24401,70118002,224.3464202880859,70118002_24401,head,1.0
24703,70118002,224.3464202880859,70118002_24703,head,1.0
5571,70118003,215.5151521240234,70118003_5571,head,1.0
6266,70118003,215.4415521240234,70118003_6266,head,1.0
6509,70118003,215.5815521240234,70118003_6509,head,1.0
6691,70118003,215.6515521240234,70118003_6691,head,1.0
6993,70118003,217.9015521240234,70118003_6993,head,1.0
7265,70118003,217.8882187906901,70118003_7265,head,1.0
7417,70118003,216.7448854573567,70118003_7417,head,1.0
7567,70118003,216.2915521240234,70118003_7567,head,1.0
7750,70118003,216.3215521240234,70118003_7750,head,1.0
8023,70118003,216.4215521240234,70118003_8023,head,1.0
19252,70118003,224.7115521240234,70118003_19252,head,1.0
19616,70118003,224.9115521240234,70118003_19616,head,1.0
19979,70118003,225.1115521240234,70118003_19979,head,1.0
20768,70118003,225.4215521240234,70118003_20768,head,1.0
21919,70118003,225.9515521240234,70118003_21919,head,1.0
22160,70118003,226.0215521240234,70118003_22160,head,1.0
22312,70118003,226.0485521240234,70118003_22312,head,1.0
22555,70118003,226.1635521240234,70118003_22555,head,1.0
22826,70118003,226.3015521240234,70118003_22826,head,1.0
23039,70118003,226.3365521240234,70118003_23039,head,1.0
23220,70118003,226.4415521240234,70118003_23220,head,1.0
23402,70118003,226.4915521240234,70118003_23402,head,1.0
23644,70118003,226.5690521240234,70118003_23644,head,1.0
23947,70118003,226.7215521240234,70118003_23947,head,1.0
24401,70118003,226.8615521240234,70118003_24401,head,1.0
24703,70118003,227.0315521240234,70118003_24703,head,1.0
25097,70118003,227.1765521240234,70118003_25097,head,1.0
25461,70118003,227.3915521240234,70118003_25461,head,1.0
25704,70118003,227.5815521240234,70118003_25704,head,1.0
25976,70118003,227.7315521240234,70118003_25976,head,1.0
26217,70118003,227.8815521240234,70118003_26217,head,1.0
26550,70118003,228.1265521240234,70118003_26550,head,1.0
26914,70118003,228.3265521240234,70118003_26914,head,1.0
27246,70118003,228.5815521240234,70118003_27246,head,1.0
5449,70118006,213.3035935058594,70118006_5449,head,1.0
6266,70118006,212.8795935058594,70118006_6266,head,1.0
6509,70118006,213.1920935058594,70118006_6509,head,1.0
6691,70118006,213.1145935058594,70118006_6691,head,1.0
6993,70118006,213.3845935058594,70118006_6993,head,1.0
7265,70118006,213.3195935058594,70118006_7265,head,1.0
7417,70118006,213.6070935058594,70118006_7417,head,1.0
7567,70118006,213.8245935058594,70118006_7567,head,1.0
7750,70118006,213.8812601725261,70118006_7750,head,1.0
8023,70118006,214.0345935058594,70118006_8023,head,1.0
8114,70118006,214.1545935058594,70118006_8114,head,1.0
8355,70118006,214.2370935058594,70118006_8355,head,1.0
8507,70118006,214.2895935058594,70118006_8507,head,1.0
8657,70118006,214.4305935058594,70118006_8657,head,1.0
8840,70118006,214.4020935058594,70118006_8840,head,1.0
9020,70118006,214.7827935058594,70118006_9020,head,1.0
9264,70118006,215.0008157280816,70118006_9264,head,1.0
9537,70118006,215.2487046169705,70118006_9537,head,1.0
9628,70118006,215.2695935058594,70118006_9628,head,1.0
9839,70118006,215.096760172526,70118006_9839,head,1.0
9930,70118006,215.233260172526,70118006_9930,head,1.0
10202,70118006,215.3895935058594,70118006_10202,head,1.0
10323,70118006,215.4495935058594,70118006_10323,head,1.0
10565,70118006,215.5345935058594,70118006_10565,head,1.0
10656,70118006,215.4045935058594,70118006_10656,head,1.0
10898,70118006,215.5745935058594,70118006_10898,head,1.0
11020,70118006,215.7895935058594,70118006_11020,head,1.0
11261,70118006,215.8020935058594,70118006_11261,head,1.0
11383,70118006,216.0745935058594,70118006_11383,head,1.0
11655,70118006,216.1495935058594,70118006_11655,head,1.0
11776,70118006,216.2745935058594,70118006_11776,head,1.0
12018,70118006,215.4612601725261,70118006_12018,head,1.0
12139,70118006,216.3830935058594,70118006_12139,head,1.0
12290,70118006,216.5145935058594,70118006_12290,head,1.0
12442,70118006,216.5795935058594,70118006_12442,head,1.0
12775,70118006,216.8555935058594,70118006_12775,head,1.0
12836,70118006,216.9645935058594,70118006_12836,head,1.0
13077,70118006,216.8870935058594,70118006_13077,head,1.0
13199,70118006,216.8075935058594,70118006_13199,head,1.0
13471,70118006,216.9758435058594,70118006_13471,head,1.0
