SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
61712825,61712825,Groundwater,Bore or Well,AWRC,Eneabba - 6,6,20033495 [WIN_ID]; 2038-3-NW-0006 [AQWAB]; 61712825 [SITE_REF],,50,360621.02,6701216.47,-29.811616637,115.557669012,GDA2020
61712826,61712826,Groundwater,Bore or Well,AWRC,Eneabba - 7,7,20033496 [WIN_ID]; 2038-3-NW-0007 [AQWAB]; 61712826 [SITE_REF],,50,362755.02,6697920.46,-29.841592563,115.579325901,GDA2020
61712827,61712827,Groundwater,Bore or Well,AWRC,Eneabba - Boase,Boase,20033497 [WIN_ID]; 2038-3-NW-0008 [AQWAB]; 61712827 [SITE_REF],,50,357973.03,6701144.47,-29.811964289,115.530264813,GDA2020
61712828,61712828,Groundwater,Bore or Well,AWRC,Carnamah - Loc 10426 East,Loc 10426 East,20033498 [WIN_ID]; 2038-3-NW-0009 [AQWAB]; 61712828 [SITE_REF],,50,366898.01,6704001.46,-29.787182637,115.622953207,GDA2020
61712829,61712829,Groundwater,Bore or Well,AWRC,Carnamah - 872,872,20033505 [WIN_ID]; 2038-3-NW-0016 [AQWAB]; 61712829 [SITE_REF],,50,366170.02,6704244.46,-29.784911557,115.615453476,GDA2020
61712830,61712830,Groundwater,Bore or Well,AWRC,Carnamah - 850,850,20033506 [WIN_ID]; 2038-3-NW-0017 [AQWAB]; 61712830 [SITE_REF],,50,367004.02,6703616.46,-29.790667637,115.624002092,GDA2020
61712831,61712831,Groundwater,Bore or Well,AWRC,Eneabba - 2496,2496,20033507 [WIN_ID]; 2038-3-NW-0018 [AQWAB]; 61712831 [SITE_REF],,50,363995.02,6701547.46,-29.809006780,115.592616985,GDA2020
61712832,61712832,Groundwater,Bore or Well,AWRC,Eneabba - 2523,2523,20033508 [WIN_ID]; 2038-3-NW-0019 [AQWAB]; 61712832 [SITE_REF],,50,358735.02,6696171.47,-29.856917609,115.537494532,GDA2020
61712833,61712833,Groundwater,Bore or Well,AWRC,Eneabba - 2525,2525,20033509 [WIN_ID]; 2038-3-NW-0020 [AQWAB]; 61712833 [SITE_REF],,50,360305.02,6697308.47,-29.846838710,115.553892135,GDA2020
61712834,61712834,Groundwater,Bore or Well,AWRC,Carnamah - Bore,Bore,20033510 [WIN_ID]; 2038-3-NW-0021 [AQWAB]; 61712834 [SITE_REF],,50,367119.03,6694804.46,-29.870183933,115.624102715,GDA2020
61712835,61712835,Groundwater,Bore or Well,AWRC,Eneabba - No 2,No 2,20033511 [WIN_ID]; 2038-3-NW-0022 [AQWAB]; 61712835 [SITE_REF],,50,355303.03,6699083.46,-29.830248101,115.502365453,GDA2020
61712837,61712837,Groundwater,Bore or Well,AWRC,Carnamah - Bore,Bore,20033513 [WIN_ID]; 2038-3-SE-0002 [AQWAB]; 61712837 [SITE_REF],,50,369464.03,6692509.46,-29.891140846,115.648098699,GDA2020
61712840,61712840,Groundwater,Bore or Well,AWRC,Eganu - Bore,Bore,20033517 [WIN_ID]; 2038-3-SE-0006 [AQWAB]; 61712840 [SITE_REF],,50,375993.02,6687101.47,-29.940609688,115.715075526,GDA2020
