Gamma,Depth
127.48914526288544,383.52947774337224
145.75301839425524,383.88193981338895
167.43384057972906,385.1208439382732
155.45776737251495,385.3273279590872
163.30416016344833,386.3597480631574
152.56699108111846,386.5662320839714
154.83831531007286,388.0116202296697
144.34113221921257,388.5285131343735
117.18782466447496,389.43524508388
85.45247471777373,389.57566698629904
84.0482556935834,391.1203079129084
86.15458422986887,391.68199552258454
83.06530237665017,392.66494883951776
66.49551789120439,393.3670583516129
55.68862167414294,393.9403565204051
47.14911688977004,394.22034028382717
45.329222427526645,395.6202591009376
38.04964457855304,395.7602509826486
40.149522804218506,396.32021850949275
37.34968516999787,397.44015356318096
40.009530922507466,397.8601292083141
39.02958775053024,398.8400723802913
50.928897695967876,399.4000399071354
47.28910877148108,401.2199343693788
51.76884898623406,401.0799424876678
50.22893828741273,402.61985318648914
60.173081246930465,402.2065275458592
60.173081246930465,403.74407856566324
67.72105898051406,403.0451917384796
76.10770090671805,403.6043012002265
87.2898901416567,404.0236332965367
100.98807195445657,404.8622974891571
114.54647640181975,405.00207485459373
130.62087342704407,405.84073904721413
144.17927787440723,406.26007114352427
155.64102184021937,406.39984850896093
173.2969867463321,406.7051369197346
182.22900905286036,406.98869318343384
195.41437531487827,407.2722494471331
203.9210632258576,407.83936197453176
206.04773520360243,408.54825263378
200.0930536659169,408.83180889747933
186.19879674465068,409.11536516117866
168.19297399974448,409.68247768857725
160.11162048431413,409.54069955672765
151.0378200459362,409.82425582042686
134.30800048767688,409.5406995567276
106.09415224959548,409.82425582042686
86.95410444989201,409.9660339522766
77.73852587966441,410.3913683478255
52.36024027857613,410.81670274337444
43.41609918030797,411.2164530230279
45.12551595699709,412.49851560554475
40.99442541333168,413.6381267900042
46.40757853951395,414.0654809841765
49.96886349094966,414.0654809841765
54.66975962684482,414.92018937252107
55.666919413246816,416.91450894532505
54.38485683072996,419.1937313142439
46.122675743399114,418.6239257220142
46.26512714145652,420.1908911006459
44.1283561705951,420.47579389676076
45.12551595699709,421.6154050812202
42.41893939390597,422.0427592753925
43.70100197642283,423.89462745013907
40.13971702498712,423.89462745013907
40.282168423044524,425.03423863459847
36.151077879379116,425.1766900326559
37.14823766578111,426.03139842100046
35.01146669491969,426.7436554112876
32.874695724058256,428.4530721879768
37.433140461896016,428.73797498409164
41.706682403618856,428.5955235860342
42.418939393906015,430.58984315883816
50.396217685122025,431.1596487510679
58.08859318022314,431.1596487510679
82.65787998288842,431.6983370283753
106.98961642519008,433.9883828111802
132.75263148174486,434.7040221183067
158.37976740009213,434.98280945966013
187.90935645924677,435.84289457788805
197.052284655152,436.677793100201
199.06867999433598,437.9740472468193
201.22910357203313,438.4061319623587
198.20451056325714,438.9822449164113
196.33214346258626,439.55835787046385
194.45977636191543,441.1426684941084
191.86726806867887,441.57475320964784
185.81808205112688,441.5747532096477
175.0159641626412,442.43892264072656
174.58387944710176,444.02323326437113
166.5182980903658,443.73517678734487
166.80635456739208,445.4635156495026
152.2595024775647,445.7515721265288
164.7899592282081,447.0478262731471
189.85087272949482,447.76796746571284
206.2700919199931,448.3440804197655
216.64012509293934,448.63213689679174
224.41764997264903,448.48810865827863
220.81694400982047,450.5045039974626
223.55348054157017,450.5045039974626
221.6811134408993,452.0888146211072
226.57807355034618,453.24104052921234
222.11319815643876,453.81715348326486
219.08860514766275,454.5372946758306
212.7513626530845,455.11340762988317
198.060482324744,455.977577060962
175.30402063966747,457.7059159231198
146.35434469852586,458.71411359271184
140.7372433965133,459.1461983082513
145.34614702893387,460.29842421635647
141.02529987353958,461.0185654089222
139.87307396543446,462.31481955554045
134.5807680383932,462.4660282963131
109.68997327244486,462.89272763515794
77.68752285908276,463.74612631284765
56.494789029789615,464.0305925387441
34.021957183962,464.3150587646407
44.1205082032896,466.87525479770966
55.499157239151714,467.44418724950276
88.92393878199661,468.8665183789855
118.08172693639324,469.2932177178303
147.0972819778416,470.0043832825717
183.08225955375548,470.85778196026143
217.43085094636064,471.32245171495003
236.95870660351073,471.75321323679884
238.39457834300708,473.33267215024483
238.39457834300708,474.9121310636908
236.38435790771217,476.2044156292375
231.35880681947503,476.77876432503604
223.4615122522452,477.20952584688496
195.17483898416754,477.92746171663305
165.45229397659344,478.64539758638114
132.85800549002664,478.93257193428036
100.981652873208,478.5018104124314
86.3357611303454,479.2197462821795
92.65359678412928,479.79409497797815
91.3613122185826,481.08637954352486
93.94588134967599,481.3735538914241
92.51000961017967,482.95301280487007
99.25860678581242,481.9479025872226
99.11501961186278,483.3837743267189
105.28926809169704,483.3837743267189
122.37437888621454,483.7896348085383
124.96291455465779,484.7962875684884
122.37437888621456,485.22771017989567
119.06680553209263,486.665785551253
106.4117422641479,487.3848232369317
79.66354035690112,486.95340062552447
50.18299524407534,488.53528353401754
44.57450129578166,488.822898608289
44.143078684374444,490.1171664425106
44.57450129578166,491.98666442527514
42.99261838728856,492.5618945738181
35.65843399336606,492.9933171852253
37.24031690185913,494.1437774823112
33.069898324922804,495.15043024226134
38.39077719894502,495.72566039080425
48.02588218703929,496.01327546507576
56.05793426410679,496.9571011207325
60.97060923917806,497.67955332294883
67.76165994001187,499.1244577273816
76.72006724749477,499.8469099295979
102.24208430507258,500.6289455911819
135.0507202489749,501.8524165910225
164.91652692662538,503.0020460609611
198.0815707300387,503.7873349091168
212.9050160934849,504.57071101714695
216.60903326716038,504.867032391041
212.46053403264386,506.34863926051116
207.42307067644526,506.49679994745816
204.01537487666388,506.7931213213522
190.97723442532634,507.3857640691403
142.7016515303909,508.6256690605288
113.06210369324924,508.92058993453026
86.07684372212023,509.6578921195338
75.75461313207092,509.80535255653444
74.57492963606526,510.6901151785387
73.69016701406105,511.7223382375436
64.69508035701804,511.7223382375436
63.220475987010985,513.3444030445514
61.74587161700393,513.7867843555536
59.828885935994776,513.9342447925542
58.79666287698984,515.7037700365627
60.41872768399759,516.7359930955676
64.40015948301665,517.3258348435704
72.95286482905753,517.1783744065697
85.63446241111818,518.0631370285739
99.64320392618515,519.2428205245795
111.44003888624158,521.1598062055887
95.95669300116754,522.0445688275929
74.28000876206389,524.4039358196042
63.36793642401173,526.468381937614
57.61697938098425,528.975209366626
63.073015550010325,530.1548928626316
71.92064177005265,530.0074324256309
99.00838098014246,531.9988796336963
132.50283997333088,532.5943366824641
166.9364341014132,533.8881654804494
200.3235570607762,534.8369132862368
211.04420901900494,535.4408936782497
215.72505705710483,535.4408936782497
217.83898842914994,535.591888776253
217.98998352715316,537.5548250502949
215.87605215510806,539.064776030327
209.83624823497917,540.2727368143528
201.6825129428052,539.9707466183463
178.88225314431872,541.6316926963817
152.00512569974526,543.141643676414
136.75462080141986,543.2926387744172
113.50137570892369,543.8966191664301
102.17674335868206,544.500599558443
96.5877736272612,544.3474533551382
94.16037949760106,545.5611504199683
98.86345562381761,546.0162868192796
102.65625895141163,546.4714232185909
116.46206306385382,547.0782717510059
143.84182539687737,547.6173594223727
174.98579372826725,548.533358490943
202.77109880823272,549.4493575595134
228.41907272820083,549.9073570937985
237.27373039104694,550.518023139512
226.12907505677506,552.0446882537958
229.3350717967711,553.2660203452228
225.2130759882048,554.48735243665
230.86173691105492,555.4033515052203
223.38107785106422,557.0826831309324
212.38908902822072,556.930016619504
210.55709089108015,558.4566817337878
174.37512768255365,558.9146812680731
168.4211337368467,560.1360133595
175.2911267511239,561.2046789394988
180.63445465111724,560.7466794052136
180.48178813968886,562.4260110309258
183.22978534539973,562.7313440537825
181.55045371968754,563.9526761452096
159.87180909685733,564.105342656638
117.88851845405237,565.7846742823502
100.63720266264524,566.3953403280638
114.22452217977123,566.8533398623489
109.94985985977655,568.2273384652043
119.87318310262137,568.0746719537759
155.7498132882911,569.296004045203
188.0059455312753,569.6989056928004
207.6400554348455,570.312471627287
211.16805955814326,570.6192545945303
214.5426721978194,571.2328205290169
216.69015296852237,572.9201268488549
213.1621488452246,573.6870842669631
207.02648950035893,574.4540416850713
188.6195114657619,575.0676076195579
155.44763755740865,575.0600745041417
122.72510924650942,575.3673282910985
91.38522297691588,575.981835865012
65.57590487254468,577.0572241193609
42.070990170349475,578.4398661606665
36.54042200512707,578.5934930541449
35.157779963821454,579.5152544150153
32.39249588121025,580.1297619889289
33.77513792251587,580.7442695628425
32.54612277468867,581.6660309237129
34.38964549642948,582.7414191780617
35.31140685729987,583.9704343258888
34.38964549642948,585.3530763671945
