Gamma,Depth,Gamma_real,Depth_real
76.19238541,82.83300379,60.83736637,47.09350686
81.73525434,83.58884955,65.55379938,47.53280125
84.5066888,83.84079814,67.91201589,47.67923271
85.51448315,86.86418119,68.76954916,49.43641027
92.06514642,87.11612977,74.34351544,49.58284173
92.5690436,89.13171847,74.77228208,50.75429344
82.23915151,89.38366706,65.98256602,50.9007249
83.75084304,91.14730717,67.26886593,51.92574514
75.18459106,91.90315293,59.9798331,52.36503953
73.92484813,94.92653598,58.9079165,54.12221709
67.62613344,95.17848457,53.54833354,54.26864855
67.37418485,97.44602186,53.33395022,55.58653172
71.65731084,97.69797045,56.97846664,55.73296319
76.94823118,98.45381621,61.48051633,56.17225758
76.19238541,100.4694049,60.83736637,57.34370928
79.71966564,100.9733021,63.83873283,57.63657221
83.49889445,102.4849936,67.05448261,58.51516099
83.49889445,105.5083767,67.05448261,60.27233854
88.28591761,106.0122738,71.12776566,60.56520147
90.5534549,108.5317597,73.05721553,62.0295161
91.05735207,110.2953998,73.48598217,63.05453634
75.18459106,110.799297,59.9798331,63.34739927
81.48330575,112.5629371,65.33941606,64.37241951
80.72745999,114.5785258,64.69626611,65.54387122
84.00279162,115.8382687,67.48324925,66.27602853
83.49889445,117.3499603,67.05448261,67.15461731
79.97161422,117.6019089,64.05311615,67.30104878
87.78202044,119.1136004,70.69899903,68.17963755
83.24694586,120.1213947,66.84009929,68.76536341
65.86249333,121.6330863,52.04765031,69.64395219
73.42095095,123.648675,58.47914987,70.81540389
79.97161422,124.9084179,64.05311615,71.54756121
79.46771705,127.6798524,63.62434951,73.1583073
77.70407694,128.4356981,62.12366628,73.59760169
72.4131566,129.1915439,57.62161659,74.03689608
68.3819792,129.9473896,54.19148349,74.47619047
67.87808203,131.7110298,53.76271686,75.50121071
53.26506396,131.9629783,41.32848438,75.64764218
58.3040357,132.7188241,45.61615075,76.08693657
55.28065266,134.7344128,43.04355092,77.25838827
59.31183005,134.9863614,46.47368402,77.40481973
59.81572723,137.0019501,46.90245066,78.57627144
62.83911028,137.7577958,49.47505048,79.01556583
65.86249333,138.5136416,52.04765031,79.45486022
62.58716169,140.5292303,49.26066717,80.62631192
54.52480689,142.0409218,42.40040097,81.5049007
61.83131593,142.7967676,48.61751721,81.94419509
65.86249333,143.8045619,52.04765031,82.52992095
68.88587638,145.0643049,54.62025013,83.26207826
69.38977355,147.0798936,55.04901677,84.43352997
65.10664757,148.0876879,51.40450035,85.01925582
62.58716169,149.0954823,49.26066717,85.60498167
59.56377864,150.3552252,46.68806734,86.33713899
60.57157299,153.1266597,47.54560062,87.94788508
64.85469898,153.8825054,51.19011703,88.38717947
70.90146508,154.6383512,56.33531668,88.82647386
71.15341366,157.4097857,56.5497,90.43721996
78.4599227,157.1578371,62.76681624,90.29078849
74.4287453,158.9214772,59.33668314,91.31580874
79.46771705,159.1734258,63.62434951,91.4622402
79.46771705,161.4409631,63.62434951,92.78012337
73.16900236,162.9526546,58.26476655,93.65871215
83.75084304,163.4565518,67.26886593,93.95157507
87.02617467,164.2123975,70.05584907,94.39086946
93.07294077,166.7318834,75.20104872,95.85518409
89.04176337,167.2357806,71.77091562,96.14804702
87.53007185,169.2513693,70.48461571,97.31949873
79.46771705,170.007215,63.62434951,97.75879311
79.21576846,172.0228037,63.40996619,98.93024482
