Year,Month,Total Rainfall (mm),Date,Month Type,Year Type,Class
1924,11,20.80,1/11/1924,Dry,Dry,1924_Dry
1924,12,0.00,1/12/1924,Dry,Dry,1924_Dry
1925,1,62.60,1/01/1925,Wet,Dry,1924_Dry
1925,2,16.20,1/02/1925,Dry,Dry,1924_Dry
1925,3,21.05,1/03/1925,Dry,Dry,1924_Dry
1925,4,0.50,1/04/1925,Dry,Dry,1924_Dry
1925,5,53.65,1/05/1925,Wet,Dry,1925_Wet
1925,6,118.95,1/06/1925,Wet,Dry,1925_Wet
1925,7,56.15,1/07/1925,Wet,Dry,1925_Wet
1925,8,18.55,1/08/1925,Dry,Dry,1925_Wet
1925,9,55.10,1/09/1925,Wet,Dry,1925_Wet
1925,10,11.95,1/10/1925,Dry,Dry,1925_Dry
1925,11,2.15,1/11/1925,Dry,Dry,1925_Dry
1925,12,30.25,1/12/1925,Dry,Dry,1925_Dry
1926,1,0.40,1/01/1926,Dry,Dry,1925_Dry
1926,2,4.20,1/02/1926,Dry,Dry,1925_Dry
1926,3,15.05,1/03/1926,Dry,Dry,1925_Dry
1926,4,43.15,1/04/1926,Wet,Dry,1925_Dry
1926,5,43.70,1/05/1926,Wet,Dry,1926_Wet
1926,6,74.00,1/06/1926,Wet,Dry,1926_Wet
1926,7,97.80,1/07/1926,Wet,Dry,1926_Wet
1926,8,42.40,1/08/1926,Wet,Dry,1926_Wet
1926,9,35.30,1/09/1926,Dry,Dry,1926_Dry
1926,10,30.20,1/10/1926,Dry,Dry,1926_Dry
1926,11,34.40,1/11/1926,Dry,Dry,1926_Dry
1926,12,6.60,1/12/1926,Dry,Dry,1926_Dry
1927,1,0.00,1/01/1927,Dry,Dry,1926_Dry
1927,2,2.30,1/02/1927,Dry,Dry,1926_Dry
1927,3,109.30,1/03/1927,Wet,Dry,1927_Wet
1927,4,5.50,1/04/1927,Dry,Dry,1927_Wet
1927,5,43.65,1/05/1927,Wet,Dry,1927_Wet
1927,6,81.85,1/06/1927,Wet,Dry,1927_Wet
1927,7,94.10,1/07/1927,Wet,Dry,1927_Wet
1927,8,44.85,1/08/1927,Wet,Dry,1927_Wet
1927,9,54.25,1/09/1927,Wet,Dry,1927_Wet
1927,10,5.60,1/10/1927,Dry,Dry,1927_Dry
1927,11,0.65,1/11/1927,Dry,Dry,1927_Dry
1927,12,22.50,1/12/1927,Dry,Dry,1927_Dry
1928,1,10.30,1/01/1928,Dry,Dry,1927_Dry
1928,2,0.00,1/02/1928,Dry,Dry,1927_Dry
1928,3,10.15,1/03/1928,Dry,Dry,1927_Dry
1928,4,10.25,1/04/1928,Dry,Dry,1927_Dry
1928,5,49.45,1/05/1928,Wet,Dry,1928_Wet
1928,6,42.40,1/06/1928,Wet,Dry,1928_Wet
1928,7,110.90,1/07/1928,Wet,Dry,1928_Wet
1928,8,47.10,1/08/1928,Wet,Dry,1928_Wet
1928,9,25.10,1/09/1928,Dry,Dry,1928_Dry
1928,10,17.25,1/10/1928,Dry,Dry,1928_Dry
1928,11,0.90,1/11/1928,Dry,Dry,1928_Dry
1928,12,16.25,1/12/1928,Dry,Dry,1928_Dry
1929,1,0.40,1/01/1929,Dry,Dry,1928_Dry
1929,2,18.30,1/02/1929,Dry,Dry,1928_Dry
1929,3,2.05,1/03/1929,Dry,Dry,1928_Dry
1929,4,1.00,1/04/1929,Dry,Dry,1928_Dry
1929,5,83.80,1/05/1929,Wet,Dry,1929_Wet
1929,6,110.35,1/06/1929,Wet,Dry,1929_Wet
1929,7,38.05,1/07/1929,Dry,Dry,1929_Dry
1929,8,39.85,1/08/1929,Dry,Dry,1929_Dry
1929,9,7.40,1/09/1929,Dry,Dry,1929_Dry
1929,10,6.10,1/10/1929,Dry,Dry,1929_Dry
1929,11,32.45,1/11/1929,Dry,Dry,1929_Dry
1929,12,0.00,1/12/1929,Dry,Dry,1929_Dry
1930,1,0.00,1/01/1930,Dry,Dry,1929_Dry
1930,2,0.00,1/02/1930,Dry,Dry,1929_Dry
1930,3,18.70,1/03/1930,Dry,Dry,1929_Dry
1930,4,13.80,1/04/1930,Dry,Dry,1929_Dry
1930,5,25.15,1/05/1930,Dry,Dry,1929_Dry
1930,6,166.05,1/06/1930,Wet,Dry,1930_Wet
1930,7,83.35,1/07/1930,Wet,Dry,1930_Wet
1930,8,39.25,1/08/1930,Dry,Dry,1930_Dry
1930,9,28.35,1/09/1930,Dry,Dry,1930_Dry
1930,10,27.35,1/10/1930,Dry,Dry,1930_Dry
1930,11,1.90,1/11/1930,Dry,Dry,1930_Dry
1930,12,3.80,1/12/1930,Dry,Dry,1930_Dry
1931,1,0.00,1/01/1931,Dry,Dry,1930_Dry
1931,2,0.00,1/02/1931,Dry,Dry,1930_Dry
1931,3,2.55,1/03/1931,Dry,Dry,1930_Dry
1931,4,12.70,1/04/1931,Dry,Dry,1930_Dry
1931,5,123.45,1/05/1931,Wet,Dry,1931_Wet
1931,6,44.90,1/06/1931,Wet,Dry,1931_Wet
1931,7,84.80,1/07/1931,Wet,Dry,1931_Wet
1931,8,52.20,1/08/1931,Wet,Dry,1931_Wet
1931,9,50.60,1/09/1931,Wet,Dry,1931_Wet
1931,10,19.65,1/10/1931,Dry,Dry,1931_Dry
1931,11,37.75,1/11/1931,Dry,Dry,1931_Dry
1931,12,14.50,1/12/1931,Dry,Dry,1931_Dry
1932,1,19.85,1/01/1932,Dry,Dry,1931_Dry
1932,2,0.25,1/02/1932,Dry,Dry,1931_Dry
1932,3,37.00,1/03/1932,Dry,Dry,1931_Dry
1932,4,27.05,1/04/1932,Dry,Dry,1931_Dry
1932,5,86.20,1/05/1932,Wet,Dry,1932_Wet
1932,6,51.95,1/06/1932,Wet,Dry,1932_Wet
1932,7,92.35,1/07/1932,Wet,Dry,1932_Wet
1932,8,149.35,1/08/1932,Wet,Dry,1932_Wet
1932,9,22.10,1/09/1932,Dry,Dry,1932_Wet
1932,10,45.85,1/10/1932,Wet,Dry,1932_Wet
1932,11,0.75,1/11/1932,Dry,Dry,1932_Dry
1932,12,4.85,1/12/1932,Dry,Dry,1932_Dry
1933,1,1.40,1/01/1933,Dry,Dry,1932_Dry
1933,2,0.55,1/02/1933,Dry,Dry,1932_Dry
1933,3,23.35,1/03/1933,Dry,Dry,1932_Dry
1933,4,4.25,1/04/1933,Dry,Dry,1932_Dry
1933,5,72.55,1/05/1933,Wet,Dry,1933_Wet
