Year,Month,Total Rainfall (mm),Date,Month Type,Year Type,Class
1924,8,70.2,1924-08-01,Wet,Dry,1924_Wet
1924,9,24.4,1924-09-01,Dry,Dry,1924_Dry
1924,10,38.05,1924-10-01,Dry,Dry,1924_Dry
1924,11,20.799999999999997,1924-11-01,Dry,Dry,1924_Dry
1924,12,0.0,1924-12-01,Dry,Dry,1924_Dry
1925,1,62.599999999999994,1925-01-01,Wet,Dry,1924_Dry
1925,2,16.2,1925-02-01,Dry,Dry,
1925,3,21.05,1925-03-01,Dry,Dry,
1925,4,0.5,1925-04-01,Dry,Dry,
1925,5,53.65,1925-05-01,Wet,Dry,1925_Wet
1925,6,118.94999999999999,1925-06-01,Wet,Dry,1925_Wet
1925,7,56.15,1925-07-01,Wet,Dry,1925_Wet
1925,8,18.549999999999997,1925-08-01,Dry,Dry,
1925,9,55.1,1925-09-01,Wet,Dry,1925_Wet
1925,10,11.95,1925-10-01,Dry,Dry,1925_Dry
1925,11,2.15,1925-11-01,Dry,Dry,1925_Dry
1925,12,30.25,1925-12-01,Dry,Dry,1925_Dry
1926,1,0.4,1926-01-01,Dry,Dry,1925_Dry
1926,2,4.2,1926-02-01,Dry,Dry,1925_Dry
1926,3,15.05,1926-03-01,Dry,Dry,
1926,4,43.15,1926-04-01,Wet,Dry,
1926,5,43.7,1926-05-01,Wet,Dry,1926_Wet
1926,6,74.0,1926-06-01,Wet,Dry,1926_Wet
1926,7,97.8,1926-07-01,Wet,Dry,1926_Wet
1926,8,42.400000000000006,1926-08-01,Wet,Dry,1926_Wet
1926,9,35.3,1926-09-01,Dry,Dry,1926_Dry
1926,10,30.2,1926-10-01,Dry,Dry,1926_Dry
1926,11,34.4,1926-11-01,Dry,Dry,1926_Dry
1926,12,6.6000000000000005,1926-12-01,Dry,Dry,1926_Dry
1927,1,0.0,1927-01-01,Dry,Dry,1926_Dry
1927,2,2.3,1927-02-01,Dry,Dry,
1927,3,109.3,1927-03-01,Wet,Dry,
1927,4,5.5,1927-04-01,Dry,Dry,
1927,5,43.65,1927-05-01,Wet,Dry,1927_Wet
1927,6,81.85,1927-06-01,Wet,Dry,1927_Wet
1927,7,94.1,1927-07-01,Wet,Dry,1927_Wet
1927,8,44.849999999999994,1927-08-01,Wet,Dry,1927_Wet
1927,9,54.25,1927-09-01,Wet,Dry,1927_Wet
1927,10,5.6,1927-10-01,Dry,Dry,1927_Dry
1927,11,0.65,1927-11-01,Dry,Dry,1927_Dry
1927,12,22.5,1927-12-01,Dry,Dry,1927_Dry
1928,1,10.3,1928-01-01,Dry,Dry,1927_Dry
1928,2,0.0,1928-02-01,Dry,Dry,1927_Dry
1928,3,10.15,1928-03-01,Dry,Dry,
1928,4,10.25,1928-04-01,Dry,Dry,
1928,5,49.45,1928-05-01,Wet,Dry,1928_Wet
1928,6,42.4,1928-06-01,Wet,Dry,1928_Wet
1928,7,110.89999999999999,1928-07-01,Wet,Dry,1928_Wet
1928,8,47.099999999999994,1928-08-01,Wet,Dry,1928_Wet
1928,9,25.099999999999998,1928-09-01,Dry,Dry,1928_Dry
1928,10,17.25,1928-10-01,Dry,Dry,1928_Dry
1928,11,0.9,1928-11-01,Dry,Dry,1928_Dry
1928,12,16.25,1928-12-01,Dry,Dry,1928_Dry
1929,1,0.4,1929-01-01,Dry,Dry,1928_Dry
1929,2,18.299999999999997,1929-02-01,Dry,Dry,
1929,3,2.05,1929-03-01,Dry,Dry,
1929,4,1.0,1929-04-01,Dry,Dry,
1929,5,83.8,1929-05-01,Wet,Dry,1929_Wet
1929,6,110.35,1929-06-01,Wet,Dry,1929_Wet
1929,7,38.050000000000004,1929-07-01,Dry,Dry,1929_Dry
1929,8,39.85,1929-08-01,Dry,Dry,1929_Dry
1929,9,7.3999999999999995,1929-09-01,Dry,Dry,1929_Dry
1929,10,6.1000000000000005,1929-10-01,Dry,Dry,1929_Dry
1929,11,32.45,1929-11-01,Dry,Dry,1929_Dry
1929,12,0.0,1929-12-01,Dry,Dry,1929_Dry
1930,1,0.0,1930-01-01,Dry,Dry,1929_Dry
1930,2,0.0,1930-02-01,Dry,Dry,1929_Dry
1930,3,18.7,1930-03-01,Dry,Dry,1929_Dry
1930,4,13.799999999999999,1930-04-01,Dry,Dry,1929_Dry
1930,5,25.15,1930-05-01,Dry,Dry,
1930,6,166.04999999999998,1930-06-01,Wet,Dry,1930_Wet
1930,7,83.35000000000001,1930-07-01,Wet,Dry,1930_Wet
1930,8,39.25,1930-08-01,Dry,Dry,1930_Dry
1930,9,28.349999999999998,1930-09-01,Dry,Dry,1930_Dry
1930,10,27.35,1930-10-01,Dry,Dry,1930_Dry
1930,11,1.9,1930-11-01,Dry,Dry,1930_Dry
1930,12,3.8,1930-12-01,Dry,Dry,1930_Dry
1931,1,0.0,1931-01-01,Dry,Dry,
1931,2,0.0,1931-02-01,Dry,Dry,
1931,3,2.55,1931-03-01,Dry,Dry,
1931,4,12.7,1931-04-01,Dry,Dry,
1931,5,123.45,1931-05-01,Wet,Dry,1931_Wet
1931,6,44.9,1931-06-01,Wet,Dry,1931_Wet
1931,7,84.8,1931-07-01,Wet,Dry,1931_Wet
1931,8,52.2,1931-08-01,Wet,Dry,1931_Wet
1931,9,50.6,1931-09-01,Wet,Dry,1931_Wet
1931,10,19.650000000000002,1931-10-01,Dry,Dry,1931_Dry
1931,11,37.75,1931-11-01,Dry,Dry,1931_Dry
1931,12,14.5,1931-12-01,Dry,Dry,1931_Dry
1932,1,19.85,1932-01-01,Dry,Dry,1931_Dry
1932,2,0.25,1932-02-01,Dry,Dry,1931_Dry
1932,3,37.0,1932-03-01,Dry,Dry,
1932,4,27.05,1932-04-01,Dry,Dry,
1932,5,86.2,1932-05-01,Wet,Dry,1932_Wet
1932,6,51.95,1932-06-01,Wet,Dry,1932_Wet
