cell_ID,slope,slope_Factor
708,0.027219,0.771224
709,0.033387,0.719380
710,0.020126,0.830837
711,0.028793,0.757999
712,0.037063,0.688483
713,0.030447,0.744094
714,0.021811,0.816676
715,0.016190,0.863920
716,0.034826,0.707285
717,0.037909,0.681377
718,0.025359,0.786859
719,0.019412,0.836842
720,0.014712,0.876349
721,0.038605,0.675522
722,0.030628,0.742570
723,0.017353,0.854145
724,0.014134,0.881204
725,0.039549,0.667590
726,0.008932,0.924929
727,0.016255,0.863381
728,0.036013,0.697314
729,0.039399,0.668849
730,0.039588,0.667261
731,0.006333,0.946775
732,0.006003,0.949545
733,0.021003,0.823471
734,0.011579,0.902676
735,0.016199,0.863845
736,0.017162,0.855751
737,0.019280,0.837955
738,0.012574,0.894313
739,0.029089,0.755507
740,0.021145,0.822278
741,0.013912,0.883073
742,0.015248,0.871842
743,0.023555,0.802018
744,0.018236,0.846726
745,0.016498,0.861338
746,0.006104,0.948697
747,0.027146,0.771836
748,0.005786,0.951371
749,0.008869,0.925453
750,0.017572,0.852309
751,0.034184,0.712681
752,0.013537,0.886223
753,0.025069,0.789299
754,0.005925,0.950202
755,0.015300,0.871400
756,0.007210,0.939402
757,0.019371,0.837190
758,0.024178,0.796786
759,0.011613,0.902395
760,0.029863,0.748997
761,0.030907,0.740229
762,0.038946,0.672659
763,0.001773,0.985099
764,0.016545,0.860940
765,0.011764,0.901127
766,0.026422,0.777922
767,0.017400,0.853751
768,0.001122,0.990570
769,0.005749,0.951680
770,0.027702,0.767167
771,0.023207,0.804946
772,0.028762,0.758255
773,0.010406,0.912538
774,0.018359,0.845689
775,0.038313,0.677980
776,0.020019,0.831737
777,0.024578,0.793419
778,0.024269,0.796018
779,0.003066,0.974230
780,0.018493,0.844565
781,0.017494,0.852962
782,0.007501,0.936952
783,0.041877,0.648024
784,0.007754,0.934825
785,0.003360,0.971763
786,0.010513,0.911638
787,0.012043,0.898778
788,0.016328,0.862766
789,0.010265,0.913721
790,0.035375,0.702670
791,0.006840,0.942514
792,0.005745,0.951713
793,0.013716,0.884717
794,0.015431,0.870303
795,0.009661,0.918802
796,0.012552,0.894504
797,0.009107,0.923456
798,0.002572,0.978381
799,0.005538,0.953455
800,0.005493,0.953834
801,0.002898,0.975645
802,0.013736,0.884551
803,0.014925,0.874552
804,0.008321,0.930060
805,0.002513,0.978876
806,0.002884,0.975763
807,0.002393,0.979885
808,0.003638,0.969421
809,0.007064,0.940626
810,0.006174,0.948109
811,0.002435,0.979533
812,0.001876,0.984229
813,0.002313,0.980559
814,0.007650,0.935703
815,0.009280,0.921999
816,0.014840,0.875269
817,0.015264,0.871703
818,0.029384,0.753024
819,0.022052,0.814657
820,0.015959,0.865863
821,0.007742,0.934930
822,0.024429,0.794676
823,0.017259,0.854940
824,0.005556,0.953298
825,0.009240,0.922336
826,0.003488,0.970687
827,0.008661,0.927207
828,0.008016,0.932628
829,0.007417,0.937658
830,0.016435,0.861865
831,0.014244,0.880276
832,0.004636,0.961035
833,0.005622,0.952750
834,0.023526,0.802263
835,0.018583,0.843808
836,0.017350,0.854174
837,0.019693,0.834479
838,0.008549,0.928145
839,0.018477,0.844703
840,0.016385,0.862285
841,0.011155,0.906244
842,0.004506,0.962126
843,0.008400,0.929395
844,0.005381,0.954772
845,0.013324,0.888013
846,0.005033,0.957699
847,0.012093,0.898362
848,0.005023,0.957785
849,0.011597,0.902528
850,0.000398,0.996654
851,0.005301,0.955449
852,0.014616,0.877149
853,0.015503,0.869695
854,0.002214,0.981391
855,0.007854,0.933989
856,0.018344,0.845818
857,0.036025,0.697214
858,0.009834,0.917343
859,0.011756,0.901187
860,0.007121,0.940152
861,0.012763,0.892726
862,0.014587,0.877398
863,0.002844,0.976100
864,0.009412,0.920888
865,0.009509,0.920079
866,0.011954,0.899526
867,0.016644,0.860106
868,0.005341,0.955109
869,0.008291,0.930311
870,0.007861,0.933926
871,0.005061,0.957466
872,0.008359,0.929746
873,0.013906,0.883119
874,0.033286,0.720234
875,0.005012,0.957871
876,0.007757,0.934798
877,0.009728,0.918238
878,0.022528,0.810654
879,0.015251,0.871813
880,0.017050,0.856694
881,0.004416,0.962880
882,0.007716,0.935150
883,0.008133,0.931645
884,0.019554,0.835652
885,0.005843,0.950891
886,0.011121,0.906530
887,0.009218,0.922523
888,0.013682,0.885001
889,0.005885,0.950537
890,0.013631,0.885434
891,0.014946,0.874383
892,0.016181,0.864000
893,0.005010,0.957890
894,0.003936,0.966920
895,0.007237,0.939169
896,0.012777,0.892606
897,0.010885,0.908509
898,0.016833,0.858520
899,0.009505,0.920107
900,0.010798,0.909244
901,0.036212,0.695639
902,0.025113,0.788927
903,0.016068,0.864950
904,0.005760,0.951583
