Class_Change,Class,Start,End,Next_Start,Gap
42,1970_Dry,1970-10-01,1971-02-28,1971-03-01,1.0
43,1971_Wet,1971-03-01,1971-08-31,1971-09-01,1.0
44,1971_Dry,1971-09-01,1972-05-31,1972-06-01,1.0
45,1972_Wet,1972-06-01,1972-08-31,1972-09-01,1.0
46,1972_Dry,1972-09-01,1973-04-30,1973-05-01,1.0
47,1973_Wet,1973-05-01,1973-09-30,1973-10-01,1.0
48,1973_Dry,1973-10-01,1974-02-28,1974-03-01,1.0
49,1974_Wet,1974-03-01,1974-08-31,1974-09-01,1.0
50,1974_Dry,1974-09-01,1975-02-28,1975-03-01,1.0
51,1975_Wet,1975-03-01,1975-10-31,1975-11-01,1.0
52,1975_Dry,1975-11-01,1976-07-31,1976-08-01,1.0
53,1976_Wet,1976-08-01,1976-10-31,1976-11-01,1.0
54,1976_Dry,1976-11-01,1977-05-31,1977-06-01,1.0
55,1977_Wet,1977-06-01,1977-08-31,1977-09-01,1.0
56,1977_Dry,1977-09-01,1978-05-31,1978-06-01,1.0
57,1978_Wet,1978-06-01,1978-09-30,1978-10-01,1.0
58,1978_Dry,1978-10-01,1979-05-31,1979-06-01,1.0
59,1979_Wet,1979-06-01,1979-08-31,1979-09-01,1.0
60,1979_Dry,1979-09-01,1980-04-30,1980-05-01,1.0
61,1980_Wet,1980-05-01,1980-08-31,1980-09-01,1.0
62,1980_Dry,1980-09-01,1981-04-30,1981-05-01,1.0
63,1981_Wet,1981-05-01,1981-08-31,1981-09-01,1.0
64,1981_Dry,1981-09-01,1982-05-31,1982-06-01,1.0
65,1982_Wet,1982-06-01,1982-09-30,1982-10-01,1.0
66,1982_Dry,1982-10-01,1983-05-31,1983-06-01,1.0
67,1983_Wet,1983-06-01,1983-09-30,1983-10-01,1.0
68,1983_Dry,1983-10-01,1984-02-29,1984-03-01,1.0
69,1984_Wet,1984-03-01,1984-07-31,1984-08-01,1.0
70,1984_Dry,1984-08-01,1985-06-30,1985-07-01,1.0
71,1985_Wet,1985-07-01,1985-08-31,1985-09-01,1.0
72,1985_Dry,1985-09-01,1986-04-30,1986-05-01,1.0
73,1986_Wet,1986-05-01,1986-08-31,1986-09-01,1.0
74,1986_Dry,1986-09-01,1987-05-31,1987-06-01,1.0
75,1987_Wet,1987-06-01,1987-08-31,1987-09-01,1.0
76,1987_Dry,1987-09-01,1988-03-31,1988-04-01,1.0
77,1988_Wet,1988-04-01,1988-08-31,1988-09-01,1.0
78,1988_Dry,1988-09-01,1989-04-30,1989-05-01,1.0
79,1989_Wet,1989-05-01,1989-07-31,1989-08-01,1.0
80,1989_Dry,1989-08-01,1989-12-31,1990-01-01,1.0
81,1990_Wet,1990-01-01,1990-10-31,1990-11-01,1.0
82,1990_Dry,1990-11-01,1991-05-31,1991-06-01,1.0
83,1991_Wet,1991-06-01,1991-07-31,1991-08-01,1.0
84,1991_Dry,1991-08-01,1992-03-31,1992-04-01,1.0
85,1992_Wet,1992-04-01,1992-09-30,1992-10-01,1.0
86,1992_Dry,1992-10-01,1993-04-30,1993-05-01,1.0
87,1993_Wet,1993-05-01,1993-08-31,1993-09-01,1.0
88,1993_Dry,1993-09-01,1994-04-30,1994-05-01,1.0
89,1994_Wet,1994-05-01,1994-08-31,1994-09-01,1.0
90,1994_Dry,1994-09-01,1995-04-30,1995-05-01,1.0
91,1995_Wet,1995-05-01,1995-07-31,1995-08-01,1.0
92,1995_Dry,1995-08-01,1996-05-31,1996-06-01,1.0
93,1996_Wet,1996-06-01,1996-09-30,1996-10-01,1.0
94,1996_Dry,1996-10-01,1997-03-31,1997-04-01,1.0
95,1997_Wet,1997-04-01,1997-09-30,1997-10-01,1.0
96,1997_Dry,1997-10-01,1998-04-30,1998-05-01,1.0
97,1998_Wet,1998-05-01,1998-07-31,1998-08-01,1.0
98,1998_Dry,1998-08-01,1999-02-28,1999-03-01,1.0
99,1999_Wet,1999-03-01,1999-09-30,1999-10-01,1.0
100,1999_Dry,1999-10-01,2000-02-29,2000-03-01,1.0
101,2000_Wet,2000-03-01,2000-08-31,2000-09-01,1.0
102,2000_Dry,2000-09-01,2001-04-30,2001-05-01,1.0
103,2001_Wet,2001-05-01,2001-09-30,2001-10-01,1.0
104,2001_Dry,2001-10-01,2002-05-31,2002-06-01,1.0
105,2002_Wet,2002-06-01,2002-08-31,2002-09-01,1.0
106,2002_Dry,2002-09-01,2003-04-30,2003-05-01,1.0
107,2003_Wet,2003-05-01,2003-09-30,2003-10-01,1.0
108,2003_Dry,2003-10-01,2004-04-30,2004-05-01,1.0
109,2004_Wet,2004-05-01,2004-09-30,2004-10-01,1.0
110,2004_Dry,2004-10-01,2005-04-30,2005-05-01,1.0
111,2005_Wet,2005-05-01,2005-09-30,2005-10-01,1.0
112,2005_Dry,2005-10-01,2007-06-30,2007-07-01,1.0
113,2007_Wet,2007-07-01,2007-07-31,2007-08-01,1.0
114,2007_Dry,2007-08-01,2008-05-31,2008-06-01,1.0
115,2008_Wet,2008-06-01,2008-07-31,2008-08-01,1.0
116,2008_Dry,2008-08-01,2009-04-30,2009-05-01,1.0
117,2009_Wet,2009-05-01,2009-08-31,2009-09-01,1.0
118,2009_Dry,2009-09-01,2010-04-30,2010-05-01,1.0
119,2010_Wet,2010-05-01,2010-08-31,2010-09-01,1.0
120,2010_Dry,2010-09-01,2011-04-30,2011-05-01,1.0
121,2011_Wet,2011-05-01,2011-09-30,2011-10-01,1.0
122,2011_Dry,2011-10-01,2012-05-31,2012-06-01,1.0
123,2012_Wet,2012-06-01,2012-09-30,2012-10-01,1.0
124,2012_Dry,2012-10-01,2013-02-28,2013-03-01,1.0
125,2013_Wet,2013-03-01,2013-09-30,2013-10-01,1.0
126,2013_Dry,2013-10-01,2014-03-31,2014-04-01,1.0
127,2014_Wet,2014-04-01,2014-09-30,2014-10-01,1.0
128,2014_Dry,2014-10-01,2015-05-31,2015-06-01,1.0
129,2015_Wet,2015-06-01,2015-08-31,2015-09-01,1.0
130,2015_Dry,2015-09-01,2016-03-31,2016-04-01,1.0
131,2016_Wet,2016-04-01,2016-08-31,2016-09-01,1.0
132,2016_Dry,2016-09-01,2017-06-30,2017-07-01,1.0
133,2017_Wet,2017-07-01,2017-08-31,2017-09-01,1.0
134,2017_Dry,2017-09-01,2018-04-30,2018-05-01,1.0
135,2018_Wet,2018-05-01,2018-08-31,2018-09-01,1.0
136,2018_Dry,2018-09-01,2019-05-31,2019-06-01,1.0
137,2019_Wet,2019-06-01,2019-07-31,2019-08-01,1.0
138,2019_Dry,2019-08-01,2020-05-31,2020-06-01,1.0
139,2020_Wet,2020-06-01,2020-08-31,2020-09-01,1.0
140,2020_Dry,2020-09-01,2021-01-31,2021-02-01,1.0
141,2021_Wet,2021-02-01,2021-10-31,2021-11-01,1.0
142,2021_Dry,2021-11-01,2022-06-30,2022-07-01,1.0
143,2022_Wet,2022-07-01,2022-09-30,2022-10-01,1.0
144,2022_Dry,2022-10-01,2023-05-31,2023-06-01,1.0
145,2023_Wet,2023-06-01,2023-06-30,2023-07-01,1.0
146,2023_Dry,2023-07-01,2024-05-31,2024-06-01,1.0
147,2024_Wet,2024-06-01,2024-08-31,2024-09-01,1.0
148,2024_Dry,2024-09-01,2025-04-30,,
